store_number,store_number_padded,store_name,full_address,raw_address_from_public_feed,city,state,postal_code,latitude,longitude,address_present,address_source_url,location_source_url
105,105,Duluth,,,Duluth,GA,0,33.949,-84.133,no,,https://simplemaps.com/data/business/home-depot
106,106,Kennesaw,"449 Roberts Ct Nw, Kennesaw GA 30144","449 Roberts Ct Nw, Kennesaw GA",Kennesaw,GA,30144,34.007,-84.563,yes,https://serpapi.com/home-depot-stores-us.json,https://simplemaps.com/data/business/home-depot
110,110,Lilburn,"4121 Hwy 78, Lilburn GA 30047","4121 Hwy 78, Lilburn GA",Lilburn,GA,30047,33.837,-84.074,yes,https://serpapi.com/home-depot-stores-us.json,https://simplemaps.com/data/business/home-depot
111,111,Merchants Walk,"4101 Roswell Rd, Merchants Walk GA 30062","4101 Roswell Rd, Merchants Walk GA",Marietta,GA,30062,33.98,-84.433,yes,https://serpapi.com/home-depot-stores-us.json,https://simplemaps.com/data/business/home-depot
114,114,Morrow,"2034 Mt Zion Rd, Morrow GA 30260","2034 Mt Zion Rd, Morrow GA",Morrow,GA,30260,33.564,-84.323,yes,https://serpapi.com/home-depot-stores-us.json,https://simplemaps.com/data/business/home-depot
115,115,Tilly Mill,"4343 Tilly Mill Rd, Tilly Mill GA 30360","4343 Tilly Mill Rd, Tilly Mill GA",Atlanta,GA,30360,33.922,-84.279,yes,https://serpapi.com/home-depot-stores-us.json,https://simplemaps.com/data/business/home-depot
116,116,Woodstock,"9037 Hwy 92, Ste 100, Woodstock GA 30189","9037 Hwy 92, Ste 100, Woodstock GA",Woodstock,GA,30189,34.087,-84.538,yes,https://serpapi.com/home-depot-stores-us.json,https://simplemaps.com/data/business/home-depot
117,117,Wages Drive,,,Decatur,GA,0,33.813,-84.269,no,,https://simplemaps.com/data/business/home-depot
118,118,Wesley Chapel,"4325 New Snapfinger Woods Dr, Wesley Chapel GA 30035","4325 New Snapfinger Woods Dr, Wesley Chapel GA",Decatur,GA,30035,33.714,-84.213,yes,https://serpapi.com/home-depot-stores-us.json,https://simplemaps.com/data/business/home-depot
119,119,Augusta,"499 Bobby Jones Expy Ste B, Augusta GA 30907","499 Bobby Jones Expy Ste B, Augusta GA",Augusta,GA,30907,33.501,-82.09,yes,https://serpapi.com/home-depot-stores-us.json,https://simplemaps.com/data/business/home-depot
121,121,Cumberland,"2450 Cumberland Pkwy, Cumberland GA 30339","2450 Cumberland Pkwy, Cumberland GA",Atlanta,GA,30339,33.862,-84.477,yes,https://serpapi.com/home-depot-stores-us.json,https://simplemaps.com/data/business/home-depot
122,122,Savannah,"11180 Abercorn St, Savannah GA 31419","11180 Abercorn St, Savannah GA",Savannah,GA,31419,31.983,-81.144,yes,https://serpapi.com/home-depot-stores-us.json,https://simplemaps.com/data/business/home-depot
123,123,Jonesboro,"3885 Jonesboro Rd, Jonesboro GA 30354","3885 Jonesboro Rd, Jonesboro GA",Atlanta,GA,30354,33.649,-84.368,yes,https://serpapi.com/home-depot-stores-us.json,https://simplemaps.com/data/business/home-depot
126,126,Lawrenceville,"875 Lawrenceville-suwanee Rd, Lawrenceville GA 30043","875 Lawrenceville-suwanee Rd, Lawrenceville GA",Lawrenceville,GA,30043,33.971,-84.017,yes,https://serpapi.com/home-depot-stores-us.json,https://simplemaps.com/data/business/home-depot
127,127,Fayetteville,"103 Pavillion Pkwy, Fayetteville, GA GA 30214","103 Pavillion Pkwy, Fayetteville, GA GA",Fayetteville,GA,30214,33.482,-84.437,yes,https://serpapi.com/home-depot-stores-us.json,https://simplemaps.com/data/business/home-depot
128,128,Conyers,"1330 Dogwood Dr, Conyers GA 30013","1330 Dogwood Dr, Conyers GA",Conyers,GA,30013,33.654,-84.0,yes,https://serpapi.com/home-depot-stores-us.json,https://simplemaps.com/data/business/home-depot
129,129,Athens,"1740 Epps Bridge Rd, Athens GA 30606","1740 Epps Bridge Rd, Athens GA",Athens,GA,30606,33.915,-83.446,yes,https://serpapi.com/home-depot-stores-us.json,https://simplemaps.com/data/business/home-depot
130,130,Cascade,"1032 Research Ctr Atlanta Dr, Cascade GA 30331","1032 Research Ctr Atlanta Dr, Cascade GA",Atlanta,GA,30331,33.729,-84.504,yes,https://serpapi.com/home-depot-stores-us.json,https://simplemaps.com/data/business/home-depot
131,131,N Fulton,"5950 State Bridge Rd, N Fulton GA 30097","5950 State Bridge Rd, N Fulton GA",Duluth,GA,30097,34.013,-84.186,yes,https://serpapi.com/home-depot-stores-us.json,https://simplemaps.com/data/business/home-depot
132,132,Carrollton,"1332 S Park St, Carrollton, GA GA 30117","1332 S Park St, Carrollton, GA GA",Carrollton,GA,30117,33.553,-85.072,yes,https://serpapi.com/home-depot-stores-us.json,https://simplemaps.com/data/business/home-depot
